iter	RMSE
0	0.6590570884
1	0.6385919865
2	0.620599984
3	0.6016866598
4	0.5848597075
5	0.5682217737
6	0.5535841467
7	0.5414200333
8	0.5271203341
9	0.5114442502
10	0.4975521647
11	0.4828035975
12	0.4700683974
13	0.4568895187
14	0.4464873165
15	0.4385267708
16	0.4254879966
17	0.4117798759
18	0.4010466207
19	0.3900504011
20	0.3858942447
21	0.3791767535
22	0.3709678789
23	0.3638790334
24	0.3543944425
25	0.3463767681
26	0.3382820942
27	0.3301176741
28	0.3214301644
29	0.3149846345
30	0.305881678
31	0.3037974036
32	0.2987978269
33	0.2916756836
34	0.2856963926
35	0.279411471
36	0.2734303023
37	0.2698081433
38	0.2652583194
39	0.2625091471
40	0.2563666787
41	0.2526412296
42	0.2495081434
43	0.245716382
44	0.2411177034
45	0.2356834547
46	0.2302873952
47	0.2250467299
48	0.2210398225
49	0.2180020243
